Console,GameName,Review,Score,Score_Category
PS2,Ruff Trigger: Vanocore Conspiracy Review,Fair,6,Fair (6-6.9)
PC,Cossacks II: Battle for Europe Review,Fair,6,Fair (6-6.9)
PC,Micro Machines V4 Review,Mediocre,5,Mediocre (5-5.9)
X360,Chromehounds Review,Good,7,Good (7-7.9)
X360,Frogger Review,Fair,6,Fair (6-6.9)
PC,Glory of the Roman Empire Review,Mediocre,5,Mediocre (5-5.9)
PSP,MTX Mototrax Review,Good,7,Good (7-7.9)
PSP,Juiced Eliminator Review,Fair,6,Fair (6-6.9)
XBOX,IHRA Drag Racing Sportsman Edition Review,Bad,3,Bad (3-3.9)
PS2,IHRA Drag Racing Sportsman Edition Review,Bad,3,Bad (3-3.9)
X360,Prey Review,Good,7,Good (7-7.9)
PC,Prey Review,Good,7,Good (7-7.9)
PC,Night Watch Review,Mediocre,5,Mediocre (5-5.9)
X360,"The Lord of the Rings, The Battle for Middle-earth II Review",Great,8,Great (8-8.9)
PS2,Naruto: Ultimate Ninja Review,Good,7,Good (7-7.9)
PC,International Cricket Captain 2006 Review,Fair,6,Fair (6-6.9)
PC,Hard Truck: Apocalypse Review,Poor,4,Poor (4-4.9)
X360,Over G Fighters Review,Mediocre,5,Mediocre (5-5.9)
PS2,Pirates of the Caribbean: The Legend of Jack Sparrow Review,Fair,6,Fair (6-6.9)
PC,Pirates of the Caribbean: The Legend of Jack Sparrow Review,Fair,6,Fair (6-6.9)
PSP,World Tour Soccer 2 Review,Good,7,Good (7-7.9)
PS2,AMF Xtreme Bowling Review,Poor,4,Poor (4-4.9)
PS2,Micro Machines V4 Review,Mediocre,5,Mediocre (5-5.9)
PC,Titan Quest Review,Good,7,Good (7-7.9)
PS2,Armored Core: Last Raven Review,Mediocre,5,Mediocre (5-5.9)
DS,Break 'Em All Review,Fair,6,Fair (6-6.9)
DS,Sudoku Gridmaster Review,Fair,6,Fair (6-6.9)
XBOX,Crusty Demons Review,Poor,4,Poor (4-4.9)
PC,Rome: Total War Alexander Review,Great,8,Great (8-8.9)
GBA,Mega Man Battle Network 6 Cybeast Falzar Review,Fair,6,Fair (6-6.9)
GBA,Mega Man Battle Network 6: Cybeast Gregar Review,Fair,6,Fair (6-6.9)
PC,Soldier Elite Review,Poor,4,Poor (4-4.9)
PC,NFL Head Coach Review,Good,7,Good (7-7.9)
PS2,Armored Core: Nine Breaker Review,Fair,6,Fair (6-6.9)
PSP,Tomb Raider: Legend Review,Fair,6,Fair (6-6.9)
PS2,NFL Head Coach Review,Good,7,Good (7-7.9)
XBOX,NFL Head Coach Review,Good,7,Good (7-7.9)
GBA,Dragon Ball: Advanced Adventure Review,Good,7,Good (7-7.9)
PSP,The Legend of Heroes II: Prophecy of the Moonlight Witch Review,Fair,6,Fair (6-6.9)
X360,MotoGP 06 Review,Great,8,Great (8-8.9)
PS2,MotoGP 4 Review,Good,7,Good (7-7.9)
GC,Major League Baseball 2K6 Review,Good,7,Good (7-7.9)
PSP,Talkman Review,Good,7,Good (7-7.9)
DS,Point Blank DS Review,Good,7,Good (7-7.9)
PC,Freedom Force vs. The Third Reich Review,Great,8,Great (8-8.9)
PS2,Urban Chaos: Riot Response Review,Good,7,Good (7-7.9)
XBOX,Urban Chaos: Riot Response Review,Good,7,Good (7-7.9)
PS2,Gallop Racer 2006 Review,Mediocre,5,Mediocre (5-5.9)
PS2,MLB SlugFest 2006 Review,Mediocre,5,Mediocre (5-5.9)
XBOX,MLB SlugFest 2006 Review,Mediocre,5,Mediocre (5-5.9)
PC,Sensible Soccer 2006 Review,Good,7,Good (7-7.9)
PSP,Cars Review,Good,7,Good (7-7.9)
DS,Cars Review,Fair,6,Fair (6-6.9)
GBA,Cars Review,Fair,6,Fair (6-6.9)
PC,Rise & Fall: Civilizations at War Review,Fair,6,Fair (6-6.9)
PS2,Street Fighter Alpha Anthology Review,Good,7,Good (7-7.9)
PS2,And 1 Streetball Review,Poor,4,Poor (4-4.9)
XBOX,And 1 Streetball Review,Poor,4,Poor (4-4.9)
DS,Dino Master Review,Terrible,2,Terrible (2-2.9)
PS2,Grand Theft Auto: Liberty City Stories Review,Good,7,Good (7-7.9)
PC,The Movies: Stunts & Effects Review,Good,7,Good (7-7.9)
DS,2006 FIFA World Cup Review,Good,7,Good (7-7.9)
PC,Rush for Berlin Review,Good,7,Good (7-7.9)
PSP,Gradius Collection Review,Great,8,Great (8-8.9)
PS2,Teen Titans Review,Fair,6,Fair (6-6.9)
GC,Teen Titans Review,Fair,6,Fair (6-6.9)
PSP,Astonishia Story Review,Fair,6,Fair (6-6.9)
DS,Big Brain Academy Review,Good,7,Good (7-7.9)
PC,Daemonica Review,Poor,4,Poor (4-4.9)
DS,Magnetica Review,Good,7,Good (7-7.9)
DS,Over the Hedge Review,Mediocre,5,Mediocre (5-5.9)
GBA,Over the Hedge Review,Mediocre,5,Mediocre (5-5.9)
XBOX,Stacked with Daniel Negreanu Review,Good,7,Good (7-7.9)
PS2,Stacked with Daniel Negreanu Review,Good,7,Good (7-7.9)
PC,Stacked with Daniel Negreanu Review,Good,7,Good (7-7.9)
PC,City Life Review,Good,7,Good (7-7.9)
