Console,GameName,Review,Score,Score_Category
N64,Mickey's Speedway USA Review,Good,7,Good (7-7.9)
DC,NBA 2K1 Review,Superb,9,Excellent (9-10)
PS2,Silent Scope Review,Poor,4,Poor (4-4.9)
DC,Ready 2 Rumble Boxing: Round 2 Review,Good,7,Good (7-7.9)
PS2,Ready 2 Rumble Boxing: Round 2 Review,Great,8,Great (8-8.9)
PS,Crash Bash Review,Fair,6,Fair (6-6.9)
PC,Links 2001 Review,Great,8,Great (8-8.9)
PS2,NASCAR 2001 Review,Good,7,Good (7-7.9)
PS,Knockout Kings 2001 Review,Great,8,Great (8-8.9)
PS2,Smuggler's Run Review,Great,8,Great (8-8.9)
DC,Sonic Shuffle Review,Poor,4,Poor (4-4.9)
PS,Army Men: Air Attack 2 Review,Good,7,Good (7-7.9)
DC,ESPN The Games: International Track & Field Review,Good,7,Good (7-7.9)
PS2,ESPN The Games: International Track & Field Review,Great,8,Great (8-8.9)
PC,Zeus: Master of Olympus Review,Great,8,Great (8-8.9)
PS,F1 Championship Season 2000 Review,Great,8,Great (8-8.9)
PS,Cool Boarders 2001 Review,Bad,3,Bad (3-3.9)
PC,Starship Troopers Review,Mediocre,5,Mediocre (5-5.9)
PC,Pac-Man: Adventures in Time Review,Good,7,Good (7-7.9)
PC,Delta Force: Land Warrior Review,Good,7,Good (7-7.9)
DC,Buzz Lightyear of Star Command Review,Poor,4,Poor (4-4.9)
PS2,NFL GameDay 2001 Review,Mediocre,5,Mediocre (5-5.9)
PS,WCW Backstage Assault Review,Mediocre,5,Mediocre (5-5.9)
PS,NBA ShootOut 2001 Review,Fair,6,Fair (6-6.9)
DC,Sega Marine Fishing Review,Good,7,Good (7-7.9)
PS,Looney Tunes Racing Review,Fair,6,Fair (6-6.9)
PS,McGrath vs. Pastrana Freestyle Motocross Review,Bad,3,Bad (3-3.9)
PC,Dirt Track Racing: Sprint Cars Review,Good,7,Good (7-7.9)
GBC,Alice In Wonderland Review,Superb,9,Excellent (9-10)
PC,Heroes Chronicles: Warlords of the Wasteland Review,Fair,6,Fair (6-6.9)
